,Year,Clump,Estimator,params,accuracy
324,2001,9,BaggingClassifier,NA,0.7166666666666667
325,2001,10,BaggingClassifier,NA,0.6666666666666666
326,2001,11,BaggingClassifier,NA,0.6833333333333333
327,2001,12,BaggingClassifier,NA,0.6333333333333333
328,2001,13,BaggingClassifier,NA,0.65
329,2001,14,BaggingClassifier,NA,0.7
330,2002,0,BaggingClassifier,NA,0.6901408450704225
331,2002,1,BaggingClassifier,NA,0.6197183098591549
332,2002,2,BaggingClassifier,NA,0.5633802816901409
333,2002,3,BaggingClassifier,NA,0.6056338028169014
334,2002,4,BaggingClassifier,NA,0.647887323943662
335,2002,5,BaggingClassifier,NA,0.6338028169014085
336,2002,6,BaggingClassifier,NA,0.5915492957746479
337,2002,7,BaggingClassifier,NA,0.6619718309859155
338,2002,8,BaggingClassifier,NA,0.704225352112676
339,2002,9,BaggingClassifier,NA,0.6197183098591549
340,2002,10,BaggingClassifier,NA,0.676056338028169
341,2002,11,BaggingClassifier,NA,0.5633802816901409
342,2002,12,BaggingClassifier,NA,0.704225352112676
343,2002,13,BaggingClassifier,NA,0.5633802816901409
344,2002,14,BaggingClassifier,NA,0.6901408450704225
345,2003,0,BaggingClassifier,NA,0.6567164179104478
346,2003,1,BaggingClassifier,NA,0.5671641791044776
347,2003,2,BaggingClassifier,NA,0.6417910447761194
348,2003,3,BaggingClassifier,NA,0.582089552238806
349,2003,4,BaggingClassifier,NA,0.7164179104477612
350,2003,5,BaggingClassifier,NA,0.5970149253731343
351,2003,6,BaggingClassifier,NA,0.6268656716417911
352,2003,7,BaggingClassifier,NA,0.6567164179104478
353,2003,8,BaggingClassifier,NA,0.6567164179104478
354,2003,9,BaggingClassifier,NA,0.6865671641791045
355,2003,10,BaggingClassifier,NA,0.6268656716417911
356,2003,11,BaggingClassifier,NA,0.7014925373134329
357,2003,12,BaggingClassifier,NA,0.6567164179104478
358,2003,13,BaggingClassifier,NA,0.6865671641791045
359,2003,14,BaggingClassifier,NA,0.7014925373134329
360,2004,0,BaggingClassifier,NA,0.6190476190476191
361,2004,1,BaggingClassifier,NA,0.6190476190476191
362,2004,2,BaggingClassifier,NA,0.5396825396825397
363,2004,3,BaggingClassifier,NA,0.6507936507936508
364,2004,4,BaggingClassifier,NA,0.6825396825396826
365,2004,5,BaggingClassifier,NA,0.6349206349206349
366,2004,6,BaggingClassifier,NA,0.6349206349206349
367,2004,7,BaggingClassifier,NA,0.5396825396825397
368,2004,8,BaggingClassifier,NA,0.7142857142857143
369,2004,9,BaggingClassifier,NA,0.6666666666666666
370,2004,10,BaggingClassifier,NA,0.746031746031746
371,2004,11,BaggingClassifier,NA,0.6825396825396826
372,2004,12,BaggingClassifier,NA,0.7619047619047619
373,2004,13,BaggingClassifier,NA,0.6825396825396826
374,2004,14,BaggingClassifier,NA,0.746031746031746
375,2005,0,BaggingClassifier,NA,0.6176470588235294
376,2005,1,BaggingClassifier,NA,0.6764705882352942
377,2005,2,BaggingClassifier,NA,0.6617647058823529
378,2005,3,BaggingClassifier,NA,0.47058823529411764
379,2005,4,BaggingClassifier,NA,0.6764705882352942
380,2005,5,BaggingClassifier,NA,0.6470588235294118
381,2005,6,BaggingClassifier,NA,0.6470588235294118
382,2005,7,BaggingClassifier,NA,0.6176470588235294
383,2005,8,BaggingClassifier,NA,0.5294117647058824
384,2005,9,BaggingClassifier,NA,0.6323529411764706
385,2005,10,BaggingClassifier,NA,0.6470588235294118
386,2005,11,BaggingClassifier,NA,0.6176470588235294
387,2005,12,BaggingClassifier,NA,0.6323529411764706
388,2005,13,BaggingClassifier,NA,0.6911764705882353
389,2005,14,BaggingClassifier,NA,0.6617647058823529
390,2006,0,BaggingClassifier,NA,0.7464788732394366
391,2006,1,BaggingClassifier,NA,0.7746478873239436
392,2006,2,BaggingClassifier,NA,0.5915492957746479
393,2006,3,BaggingClassifier,NA,0.647887323943662
394,2006,4,BaggingClassifier,NA,0.7887323943661971
395,2006,5,BaggingClassifier,NA,0.647887323943662
396,2006,6,BaggingClassifier,NA,0.6338028169014085
397,2006,7,BaggingClassifier,NA,0.7183098591549296
398,2006,8,BaggingClassifier,NA,0.7183098591549296
399,2006,9,BaggingClassifier,NA,0.7323943661971831
400,2006,10,BaggingClassifier,NA,0.8169014084507042
401,2006,11,BaggingClassifier,NA,0.647887323943662
402,2006,12,BaggingClassifier,NA,0.8028169014084507
403,2006,13,BaggingClassifier,NA,0.704225352112676
404,2006,14,BaggingClassifier,NA,0.7746478873239436
405,2007,0,BaggingClassifier,NA,0.582089552238806
406,2007,1,BaggingClassifier,NA,0.6119402985074627
407,2007,2,BaggingClassifier,NA,0.582089552238806
408,2007,3,BaggingClassifier,NA,0.6417910447761194
409,2007,4,BaggingClassifier,NA,0.6268656716417911
410,2007,5,BaggingClassifier,NA,0.6567164179104478
411,2007,6,BaggingClassifier,NA,0.582089552238806
412,2007,7,BaggingClassifier,NA,0.6567164179104478
413,2007,8,BaggingClassifier,NA,0.746268656716418
414,2007,9,BaggingClassifier,NA,0.6268656716417911
415,2007,10,BaggingClassifier,NA,0.6417910447761194
416,2007,11,BaggingClassifier,NA,0.6716417910447762
417,2007,12,BaggingClassifier,NA,0.6567164179104478
418,2007,13,BaggingClassifier,NA,0.7313432835820896
419,2007,14,BaggingClassifier,NA,0.7761194029850746
420,2008,0,BaggingClassifier,NA,0.5522388059701493
421,2008,1,BaggingClassifier,NA,0.6119402985074627
422,2008,2,BaggingClassifier,NA,0.7014925373134329
423,2008,3,BaggingClassifier,NA,0.582089552238806
424,2008,4,BaggingClassifier,NA,0.6865671641791045
425,2008,5,BaggingClassifier,NA,0.6268656716417911
426,2008,6,BaggingClassifier,NA,0.7014925373134329
427,2008,7,BaggingClassifier,NA,0.6268656716417911
428,2008,8,BaggingClassifier,NA,0.5970149253731343
429,2008,9,BaggingClassifier,NA,0.6417910447761194
430,2008,10,BaggingClassifier,NA,0.7164179104477612
431,2008,11,BaggingClassifier,NA,0.7014925373134329
432,2008,12,BaggingClassifier,NA,0.6716417910447762
433,2008,13,BaggingClassifier,NA,0.7014925373134329
