,HQ3
1590,0
1591,3
1592,3
1593,0
1594,7
1595,0
1596,0
1597,0
1598,7
1599,7
1600,3
1601,0
1602,0
1603,7
1604,2
1605,0
1606,7
1607,0
1608,10
1609,0
1610,0
1611,14
1612,0
1613,14
1614,6
1615,3
1616,0
1617,3
1618,7
1619,0
1620,7
1621,10
1622,7
1623,0
1624,14
1625,0
1626,0
1627,7
1628,0
1629,7
1630,0
1631,3
1632,3
1633,0
1634,0
1635,0
1636,7
1637,0
1638,10
1639,8
1640,14
1641,7
1642,0
1643,7
1644,14
1645,17
1646,0
1647,0
1648,7
1649,3
1650,7
1651,7
1652,3
1653,0
1654,14
1655,3
1656,10
1657,7
1658,10
1659,0
1660,7
1661,14
1662,0
1663,0
1664,0
1665,0
1666,0
1667,7
1668,0
1669,0
1670,10
1671,0
1672,3
1673,7
1674,3
1675,0
1676,10
1677,0
1678,0
1679,3
1680,14
1681,0
1682,20
1683,5
1684,0
1685,0
1686,7
1687,3
1688,7
1689,7
1690,0
1691,0
1692,0
1693,3
1694,10
1695,7
1696,3
1697,10
1698,0
1699,7
1700,0
1701,0
1702,6
1703,0
1704,3
1705,7
1706,0
1707,17
1708,3
1709,0
1710,7
1711,7
1712,3
1713,0
1714,0
1715,10
1716,7
1717,0
1718,0
1719,0
1720,7
1721,10
1722,0
1723,7
1724,0
1725,7
1726,0
1727,0
1728,7
1729,17
1730,3
1731,0
1732,0
1733,3
1734,0
1735,17
1736,7
1737,0
1738,0
1739,7
1740,0
1741,0
1742,7
1743,7
1744,10
1745,6
1746,0
1747,14
1748,3
1749,0
1750,7
1751,7
1752,14
1753,7
1754,0
1755,10
1756,7
1757,0
1758,0
1759,0
1760,7
1761,7
1762,7
1763,0
1764,14
1765,7
1766,10
1767,0
1768,0
1769,0
1770,14
1771,10
1772,0
1773,0
1774,0
1775,3
1776,0
1777,7
1778,14
1779,3
1780,0
1781,7
1782,0
1783,7
1784,3
1785,13
1786,10
1787,13
1788,0
1789,7
1790,0
1791,0
1792,10
1793,0
1794,0
1795,7
1796,7
1797,0
1798,7
1799,7
1800,0
1801,17
1802,0
1803,3
