,Team,Clump,Estimator,params,accuracy,HV
236,Colts,11,BaggingClassifier(),,0.6744186046511628,H
237,Colts,11,RandomForestClassifier(),,0.6976744186046512,H
238,Colts,11,ExtraTreesClassifier(),,0.6976744186046512,H
239,Colts,11,DecisionTreeClassifier(),,0.6744186046511628,H
240,Colts,11,AdaBoostClassifier(),,0.6046511627906976,H
241,Colts,11,MultinomialNB(),,0.7441860465116279,H
242,Colts,11,GradientBoostingClassifier(),,0.6976744186046512,H
243,Colts,12,LogisticRegression(),,0.6976744186046512,H
244,Colts,12,KNeighborsClassifier(),,0.6744186046511628,H
245,Colts,12,BaggingClassifier(),,0.7674418604651163,H
246,Colts,12,RandomForestClassifier(),,0.7209302325581395,H
247,Colts,12,ExtraTreesClassifier(),,0.7209302325581395,H
248,Colts,12,DecisionTreeClassifier(),,0.7674418604651163,H
249,Colts,12,AdaBoostClassifier(),,0.3255813953488372,H
250,Colts,12,MultinomialNB(),,0.6744186046511628,H
251,Colts,12,GradientBoostingClassifier(),,0.7441860465116279,H
252,Colts,13,LogisticRegression(),,0.6976744186046512,H
253,Colts,13,KNeighborsClassifier(),,0.5581395348837209,H
254,Colts,13,BaggingClassifier(),,0.7441860465116279,H
255,Colts,13,RandomForestClassifier(),,0.7209302325581395,H
256,Colts,13,ExtraTreesClassifier(),,0.7441860465116279,H
257,Colts,13,DecisionTreeClassifier(),,0.7441860465116279,H
258,Colts,13,AdaBoostClassifier(),,0.7209302325581395,H
259,Colts,13,MultinomialNB(),,0.627906976744186,H
260,Colts,13,GradientBoostingClassifier(),,0.6976744186046512,H
261,Colts,14,LogisticRegression(),,0.8837209302325582,H
262,Colts,14,KNeighborsClassifier(),,0.7441860465116279,H
263,Colts,14,BaggingClassifier(),,0.813953488372093,H
264,Colts,14,RandomForestClassifier(),,0.813953488372093,H
265,Colts,14,ExtraTreesClassifier(),,0.7906976744186046,H
266,Colts,14,DecisionTreeClassifier(),,0.7209302325581395,H
267,Colts,14,AdaBoostClassifier(),,0.6511627906976745,H
268,Colts,14,MultinomialNB(),,0.7441860465116279,H
269,Colts,14,GradientBoostingClassifier(),,0.7906976744186046,H
270,Panthers,0,LogisticRegression(),,0.6190476190476191,H
271,Panthers,0,KNeighborsClassifier(),,0.6190476190476191,H
272,Panthers,0,BaggingClassifier(),,0.6190476190476191,H
273,Panthers,0,RandomForestClassifier(),,0.6190476190476191,H
274,Panthers,0,ExtraTreesClassifier(),,0.6190476190476191,H
275,Panthers,0,DecisionTreeClassifier(),,0.6190476190476191,H
276,Panthers,0,AdaBoostClassifier(),,0.6190476190476191,H
277,Panthers,0,MultinomialNB(),,0.6190476190476191,H
