,Week,Clump,Estimator,params,accuracy
492,12,12,BaggingClassifier,NA,0.5641025641025641
493,12,13,BaggingClassifier,NA,0.7564102564102564
494,12,14,BaggingClassifier,NA,0.7564102564102564
495,13,0,BaggingClassifier,NA,0.5875
496,13,1,BaggingClassifier,NA,0.7625
497,13,2,BaggingClassifier,NA,0.6125
498,13,3,BaggingClassifier,NA,0.675
499,13,4,BaggingClassifier,NA,0.7375
500,13,5,BaggingClassifier,NA,0.7625
501,13,6,BaggingClassifier,NA,0.7
502,13,7,BaggingClassifier,NA,0.525
503,13,8,BaggingClassifier,NA,0.6625
504,13,9,BaggingClassifier,NA,0.75
505,13,10,BaggingClassifier,NA,0.6625
506,13,11,BaggingClassifier,NA,0.5875
507,13,12,BaggingClassifier,NA,0.725
508,13,13,BaggingClassifier,NA,0.75
509,13,14,BaggingClassifier,NA,0.8
510,14,0,BaggingClassifier,NA,0.6125
511,14,1,BaggingClassifier,NA,0.7625
512,14,2,BaggingClassifier,NA,0.6
513,14,3,BaggingClassifier,NA,0.6375
514,14,4,BaggingClassifier,NA,0.7375
515,14,5,BaggingClassifier,NA,0.8125
516,14,6,BaggingClassifier,NA,0.6125
517,14,7,BaggingClassifier,NA,0.625
518,14,8,BaggingClassifier,NA,0.625
519,14,9,BaggingClassifier,NA,0.7875
520,14,10,BaggingClassifier,NA,0.7625
521,14,11,BaggingClassifier,NA,0.775
522,14,12,BaggingClassifier,NA,0.775
523,14,13,BaggingClassifier,NA,0.75
524,14,14,BaggingClassifier,NA,0.8125
525,15,0,BaggingClassifier,NA,0.6625
526,15,1,BaggingClassifier,NA,0.6625
527,15,2,BaggingClassifier,NA,0.625
528,15,3,BaggingClassifier,NA,0.6875
529,15,4,BaggingClassifier,NA,0.675
530,15,5,BaggingClassifier,NA,0.6875
531,15,6,BaggingClassifier,NA,0.6
532,15,7,BaggingClassifier,NA,0.725
533,15,8,BaggingClassifier,NA,0.7375
534,15,9,BaggingClassifier,NA,0.7375
535,15,10,BaggingClassifier,NA,0.7375
