GameID,Vteam,VQ1,VQ2,VQ3,VQ4,DateWeek,Year,Hteam,HQ1,HQ2,HQ3,HQ4
200011120oti,Ravens,7,10,0,7,11/12/2000,2000,Titans,0,14,0,9
200011120cle,Patriots,3,0,0,8,11/12/2000,2000,Browns,3,10,3,3
200011120sfo,Chiefs,0,0,0,7,11/12/2000,2000,49ers,0,21,0,0
200011120sdg,Dolphins,7,7,3,0,11/12/2000,2000,Chargers,0,0,0,7
200011120tam,Packers,0,3,6,6,11/12/2000,2000,Buccaneers,0,14,0,6
200011120nyg,Rams,14,14,10,0,11/12/2000,2000,Giants,0,7,10,7
200011120clt,Jets,0,0,7,8,11/12/2000,2000,Colts,7,10,3,3
200011130den,Raiders,3,7,0,14,11/13/2000,2000,Broncos,7,0,14,6
200011190min,Panthers,7,7,0,3,11/19/2000,2000,Vikings,14,10,7,0
200011190kan,Bills,7,0,0,14,11/19/2000,2000,Chiefs,0,3,7,7
200011190nwe,Bengals,0,10,3,0,11/19/2000,2000,Patriots,7,3,0,6
200011190phi,Cardinals,3,0,0,6,11/19/2000,2000,Eagles,0,10,7,17
200011190nor,Raiders,3,14,0,14,11/19/2000,2000,Saints,0,7,6,9
200011190gnb,Colts,0,0,3,21,11/19/2000,2000,Packers,5,14,0,7
200011190nyg,Lions,0,21,7,3,11/19/2000,2000,Giants,0,0,14,7
200011190oti,Browns,0,0,10,0,11/19/2000,2000,Titans,0,0,14,10
200011190chi,Buccaneers,0,3,7,0,11/19/2000,2000,Bears,3,7,0,3
200011190mia,Jets,3,3,0,14,11/19/2000,2000,Dolphins,0,3,0,0
200011190den,Chargers,3,21,10,3,11/19/2000,2000,Broncos,0,10,7,21
200011190rav,Cowboys,0,0,0,0,11/19/2000,2000,Ravens,10,7,0,10
200011190sfo,Falcons,0,3,3,0,11/19/2000,2000,49ers,3,3,7,3
200011190pit,Jaguars,0,17,17,0,11/19/2000,2000,Steelers,7,3,0,14
200011200ram,Redskins,3,10,12,8,11/20/2000,2000,Rams,10,3,7,0
200011230det,Patriots,6,0,3,0,11/23/2000,2000,Lions,3,3,7,21
200011230dal,Vikings,0,10,17,0,11/23/2000,2000,Cowboys,3,6,0,6
200011260tam,Bills,0,7,0,10,11/26/2000,2000,Buccaneers,3,7,0,21
200011260rav,Browns,7,0,0,0,11/26/2000,2000,Ravens,7,24,6,7
200011260was,Eagles,7,3,7,6,11/26/2000,2000,Redskins,7,7,3,3
200011260cin,Steelers,14,10,21,3,11/26/2000,2000,Bengals,7,7,7,7
200011260ram,Saints,7,14,3,7,11/26/2000,2000,Rams,7,3,7,7
200011260nyj,Bears,0,0,3,7,11/26/2000,2000,Jets,7,10,0,0
200011260rai,Falcons,7,0,0,7,11/26/2000,2000,Raiders,3,21,14,3
200011260clt,Dolphins,0,3,7,7,11/26/2000,2000,Colts,7,0,0,7
200011260sdg,Chiefs,3,3,10,0,11/26/2000,2000,Chargers,7,7,0,3
200011260jax,Titans,7,3,0,3,11/26/2000,2000,Jaguars,10,0,3,3
200011260sea,Broncos,0,10,7,21,11/26/2000,2000,Seahawks,0,14,10,7
200011260crd,Giants,7,7,7,10,11/26/2000,2000,Cardinals,0,0,7,0
200011270car,Packers,0,14,0,0,11/27/2000,2000,Panthers,14,3,7,7
200011300min,Lions,0,3,0,14,11/30/2000,2000,Vikings,7,10,0,7
200012030pit,Raiders,0,17,0,3,12/3/2000,2000,Steelers,7,0,7,7
200012030was,Giants,0,6,3,0,12/3/2000,2000,Redskins,0,0,0,7
200012030tam,Cowboys,0,0,7,0,12/3/2000,2000,Buccaneers,17,3,0,7
200012030buf,Dolphins,7,17,6,3,12/3/2000,2000,Bills,0,0,0,6
200012030nor,Broncos,7,21,3,7,12/3/2000,2000,Saints,7,6,3,7
200012030cin,Cardinals,0,0,7,6,12/3/2000,2000,Bengals,7,7,7,3
200012030phi,Titans,0,6,3,6,12/3/2000,2000,Eagles,3,3,0,7
200012030car,Rams,3,0,0,0,12/3/2000,2000,Panthers,0,0,7,9
200012030atl,Seahawks,17,7,6,0,12/3/2000,2000,Falcons,0,3,0,7
200012030sdg,49ers,0,17,10,18,12/3/2000,2000,Chargers,7,3,0,7
200012030nyj,Colts,0,0,10,7,12/3/2000,2000,Jets,14,6,0,7
200012030jax,Browns,0,0,0,0,12/3/2000,2000,Jaguars,3,17,21,7
200012030chi,Packers,0,14,7,7,12/3/2000,2000,Bears,0,3,0,3
200012040nwe,Chiefs,3,7,0,14,12/4/2000,2000,Patriots,10,10,7,3
200012100kan,Panthers,0,7,7,0,12/10/2000,2000,Chiefs,0,3,3,9
200012100chi,Patriots,0,10,0,7,12/10/2000,2000,Bears,3,7,7,7
200012100rav,Chargers,0,3,0,0,12/10/2000,2000,Ravens,3,7,14,0
200012100gnb,Lions,0,0,3,10,12/10/2000,2000,Packers,6,0,3,17
200012100jax,Cardinals,0,3,0,7,12/10/2000,2000,Jaguars,10,17,10,7
200012100mia,Buccaneers,0,10,0,6,12/10/2000,2000,Dolphins,3,0,10,0
200012100nyg,Steelers,0,3,0,7,12/10/2000,2000,Giants,3,10,7,10
200012100oti,Bengals,0,3,0,0,12/10/2000,2000,Titans,14,7,7,7
